City_Id,City,Cloudiness,Country,Date,Humidity,Lat,lng,Max Temp,Wind Speed
1214026,Sabang,30,ID,1612043256,76,5.8933,95.3214,81.07,20.87
4944903,Nantucket,1,US,1612043256,58,41.2835,-70.0995,19.4,9.22
4032243,Vaini,75,TO,1612043256,83,-21.2,-175.2,82.4,9.22
5282297,Bethel,1,US,1612043165,34,41.3712,-73.414,28.4,9.22
2332453,Lagos,0,NG,1612043257,86,6.5833,3.75,80.08,5.7
4414200,West Plains,90,US,1612043194,93,36.7281,-91.8524,45.0,12.66
3893629,Coquimbo,75,CL,1612043022,82,-29.9533,-71.3436,66.2,10.36
4034551,Faanui,73,PF,1612043258,71,-16.4833,-151.75,81.16,7.58
5364271,Laguna,1,US,1612043258,54,38.421,-121.4238,60.01,6.91
6167817,Torbay,90,CA,1612043258,86,47.6666,-52.7314,30.0,10.36
6170031,Tuktoyaktuk,40,CA,1612043259,67,69.4541,-133.0374,-34.6,2.3
3517151,Santander Jiménez,0,MX,1612043259,48,24.2167,-98.4667,83.55,11.63
2646557,Horsham,90,GB,1612043260,87,51.064,-0.3272,39.99,18.41
3894426,Coyhaique,20,CL,1612043260,27,-45.5752,-72.0662,73.4,10.36
2032201,Bulgan,34,MN,1612043260,81,48.8125,103.5347,1.26,4.27
3423146,Ilulissat,90,GL,1612043261,72,69.2167,-51.1,3.2,5.75
2395182,Bembèrèkè,0,BJ,1612043261,20,10.2283,2.6634,74.5,5.01
2377450,Nouakchott,66,MR,1612043051,11,18.0858,-15.9785,75.2,9.22
3985710,Cabo San Lucas,1,MX,1612043005,53,22.8909,-109.9124,77.0,6.91
4845585,Westport,1,US,1612043262,31,41.1415,-73.3579,30.99,10.36
4726521,San Patricio,75,US,1612043262,61,28.017,-97.5169,86.0,18.41
3904906,Santa Cruz de la Sierra,65,BO,1612043263,72,-17.8,-63.1667,79.63,16.49
2240449,Luanda,84,AO,1612043263,84,-8.8368,13.2343,77.86,9.06
5746545,Portland,100,US,1612043063,88,45.5234,-122.6762,50.0,1.01
3421193,Paamiut,97,GL,1612043263,88,61.994,-49.6678,27.45,13.56
3466165,Cidreira,100,BR,1612043264,88,-30.1811,-50.2056,77.23,4.63
3943957,Chilca,0,PE,1612043264,64,-12.5211,-76.7372,75.2,11.5
1507390,Dikson,0,RU,1612043264,81,73.5069,80.5464,-35.68,7.76
1791779,Wanning,67,CN,1612043265,85,18.8003,110.3967,68.43,8.16
2178753,Kirakira,100,SB,1612043266,77,-10.4544,161.9205,82.09,2.08
3361934,Saldanha,0,ZA,1612043266,91,-33.0117,17.9442,64.74,5.77
1819729,Hong Kong,14,HK,1612043266,68,22.2855,114.1577,62.01,15.73
2693759,Ludvika,90,SE,1612043267,86,60.1496,15.1878,15.8,9.22
497242,Semibratovo,90,RU,1612043267,80,57.3046,39.5369,26.6,11.18
5380437,Pacific Grove,1,US,1612043020,62,36.6177,-121.9166,57.0,5.75
3893726,Constitución,51,CL,1612043268,84,-35.3333,-72.4167,64.78,7.7
5880054,Barrow,90,US,1612043032,70,71.2906,-156.7887,-9.4,10.36
3374083,Bathsheba,20,BB,1612043268,65,13.2167,-59.5167,80.6,14.97
2068110,Kununurra,90,AU,1612043108,100,-15.7667,128.7333,78.8,3.44
3932145,Pisco,0,PE,1612043269,65,-13.7,-76.2167,77.0,13.8
501730,Rodniki,100,RU,1612043269,97,57.1051,41.7305,19.94,10.78
315218,Eskil,100,TR,1612043270,93,38.4017,33.4131,37.11,14.94
4499379,Wilmington,1,US,1612043062,36,34.2257,-77.9447,44.6,6.91
1649150,Bengkulu,100,ID,1612043270,89,-3.8004,102.2655,75.11,5.01
1337619,Ugoofaaru,46,MV,1612043271,70,5.6667,73.0,81.05,9.62
1501000,Kyshtovka,100,RU,1612043271,88,56.555,76.6271,-7.49,10.65
2022572,Khatanga,29,RU,1612043269,77,71.9667,102.5,-46.41,1.14
2109701,Auki,100,SB,1612043272,84,-8.7676,160.7034,81.18,11.83
1317402,Kyaikkami,10,MM,1612043273,78,16.08,97.5675,75.92,6.98
4160812,Key West,90,US,1612043175,64,24.5557,-81.7826,73.4,16.11
2171099,Codrington,83,AU,1612043273,68,-38.2667,141.9667,60.48,6.96
2155415,New Norfolk,9,AU,1612043273,69,-42.7826,147.0587,63.0,1.01
2488835,Médéa,40,DZ,1612043274,72,36.2642,2.7539,62.6,17.27
502738,Rassvet,81,RU,1612043274,87,46.8333,40.75,36.91,14.97
4020109,Atuona,19,PF,1612043274,78,-9.8,-139.0333,78.8,17.94
3899695,Ancud,0,CL,1612043275,52,-41.8697,-73.8203,66.2,6.91
1337607,Kudahuvadhoo,86,MV,1612043275,78,2.6708,72.8944,80.89,13.27
2328952,Nguru,0,NG,1612043275,22,12.8791,10.4526,70.66,9.48
3905792,San Borja,85,BO,1612043276,85,-14.8167,-66.85,80.62,4.45
3644768,Cumana,70,VE,1612043276,80,10.4635,-64.1775,78.04,13.76
2127202,Anadyr,95,RU,1612043276,59,64.75,177.4833,-5.8,24.61
3931276,Puno,63,PE,1612043277,44,-15.8333,-70.0333,55.99,6.85
293842,Kiryat Gat,0,IL,1612043277,58,31.61,34.7642,55.99,1.01
3141332,Røros,75,NO,1612043226,85,62.5747,11.3842,12.2,3.44
3366880,Hermanus,3,ZA,1612042989,86,-34.4187,19.2345,66.0,1.01
6165406,Thompson,90,CA,1612043278,85,55.7435,-97.8558,14.0,4.61
2184564,Piopio,0,NZ,1612043278,39,-38.4667,175.0167,73.0,1.99
935215,Saint-Philippe,0,RE,1612043279,69,-21.3585,55.7679,78.8,4.61
1282256,Hithadhoo,69,MV,1612043278,78,-0.6,73.0833,81.77,15.77
211647,Lodja,78,CD,1612043279,96,-3.4833,23.4333,69.44,2.71
2729907,Longyearbyen,20,SJ,1612043280,60,78.2186,15.6401,-2.2,19.57
4360369,Laurel,1,US,1612043154,40,39.0993,-76.8483,37.4,2.15
3443061,Chui,40,UY,1612043281,73,-33.6971,-53.4616,75.58,13.8
1794825,Shizilu,15,CN,1612043281,85,35.1711,118.8289,35.69,3.6
5856516,‘Āhuimanu,40,US,1612043281,57,21.4447,-157.8378,80.6,13.8
3155152,Gravdal,1,NO,1612043282,87,68.1214,13.5031,26.44,6.51
1486321,Yar-Sale,100,RU,1612043282,85,66.8333,70.8333,-20.47,17.29
3650053,Yantzaza,31,EC,1612043282,76,-3.8278,-78.7594,76.55,1.66
3448453,São Miguel do Iguaçu,40,BR,1612043283,78,-25.3481,-54.2378,82.4,8.05
876177,Luau,100,AO,1612043283,96,-10.7073,22.2247,66.2,2.17
2772505,Lienz,100,AT,1612043283,98,46.8289,12.769,33.01,2.66
934322,Mahébourg,20,MU,1612043246,89,-20.4081,57.7,78.8,3.44
2134814,Sola,92,VU,1612043284,79,-13.8833,167.55,81.28,14.2
1489656,Teya,0,RU,1612043284,76,60.3778,92.6267,-37.95,1.1
161901,Kaka,100,TM,1612043284,43,37.3482,59.6143,52.29,8.1
2084442,Vanimo,100,PG,1612043285,81,-2.6741,141.3028,79.16,5.57
3427761,Tigre,90,AR,1612043285,82,-34.426,-58.5796,64.4,13.8
2458624,Diré,0,ML,1612043285,16,12.2833,-10.9667,76.71,2.15
4723422,Rockport,90,US,1612043062,78,28.0206,-97.0544,75.99,11.5
3444823,Xique-Xique,12,BR,1612043286,56,-10.8218,-42.7263,81.9,3.6
2123100,Myaundzha,100,RU,1612043286,79,63.0494,147.1858,-25.47,4.81
3533462,Acapulco de Juárez,75,MX,1612043287,70,16.8634,-99.8901,86.0,9.22
1242110,Kalmunai,86,LK,1612043287,86,7.4167,81.8167,76.19,6.44
2018553,Ol'ga,0,RU,1612043287,82,43.7444,135.2892,-4.16,10.8
157429,Kilindoni,52,TZ,1612043288,82,-7.9139,39.6668,81.37,15.3
2018735,Nyurba,100,RU,1612043289,81,63.2842,118.3319,-38.52,2.21
2109528,Buala,100,SB,1612043289,80,-8.145,159.5921,83.05,14.9
3175096,Laas,90,IT,1612043289,100,46.6166,10.7002,39.99,3.44
1519924,Kushmurun,100,KZ,1612043290,94,52.4503,64.6311,14.41,3.27
1254046,Tura,0,IN,1612043290,49,25.5198,90.2201,49.77,2.44
5882953,Aklavik,75,CA,1612043290,76,68.2191,-135.0107,-18.4,2.3
1244926,Hambantota,96,LK,1612043291,80,6.1241,81.1185,77.27,11.97
3372783,Ponta Delgada,75,PT,1612043291,100,37.7333,-25.6667,62.01,16.11
98182,Baghdad,0,IQ,1612043028,66,33.3406,44.4009,46.4,5.75
1258294,Raxaul,0,IN,1612043292,67,26.9833,84.85,44.71,3.74
3402848,Carnaíba,97,BR,1612043292,70,-8.7,-37.6667,77.05,10.09
3424607,Tasiilaq,90,GL,1612043292,42,65.6145,-37.6368,21.2,24.16
1786546,Anlu,22,CN,1612043293,74,31.1661,112.5831,44.19,2.66
1789647,Xichang,41,CN,1612043293,74,27.8964,102.2634,39.18,1.88
4036284,Alofi,100,NU,1612043294,89,-19.0595,-169.9187,78.8,10.36
2013639,Verkhnevilyuysk,92,RU,1612043294,77,63.4453,120.3167,-47.51,2.8
2138555,Poum,63,NC,1612043295,70,-20.2333,164.0167,79.12,13.87
286621,Salalah,0,OM,1612043292,60,17.0151,54.0924,69.8,5.75
4032420,Neiafu,75,TO,1612043295,83,-18.65,-173.9833,80.6,9.22
6148373,Sioux Lookout,90,CA,1612043295,86,50.1001,-91.917,23.0,5.75
1809116,Hai’an,93,CN,1612043296,99,32.5436,120.45,46.99,4.56
1687186,Sarangani,100,PH,1612043296,74,5.4033,125.4636,81.09,17.94
245669,Adré,0,TD,1612043296,22,13.4667,22.2,67.53,15.73
